Funding block,address,Funding Amount[CELO],Funding Entity
20536345,0x81e5178ca9654c6a7ea9b05947994a32536446bc,0.918,Tether : Binance
20536339,0xfef0f8d45e5f14f51507313044addc690e0d9139,0.919,Tether : Binance
20536333,0x492b74635521231733b2777d66c5585cfe051fca,0.999,Tether : Binance
20536330,0x48d6cf595117543eb9623a51f75cdb6c11b8f873,0.917,Tether : Binance
20536322,0x7804d1d9822f5918845686056010775339263c9d,0.909,Tether : Binance
20536315,0xec0190931fe64f0bbb750237bf0b3c588e096236,0.911,Tether : Binance
20536307,0x5ffab19ffb0dbbf30389f88bc29268828b796918,0.918,Tether : Binance
20536300,0xdeaff23c2792882280d6aa3389fe328c8e70656f,0.909,Tether : Binance
20536294,0x9f6eeb222d682b65a2e420e996aadb535aef5cbe,0.914,Tether : Binance
20536286,0x535bb3973640ac168e2850bf9a86ff734842736b,0.919,Tether : Binance
20536281,0x1889c4e69d9de2ed1984244a660644b47e26fd24,0.918,Tether : Binance
20536273,0x1a58ddd99483eaeeb1a31e183e03e6156e2941f0,0.92,Tether : Binance
20536264,0x781b1e104fb26377e1efd8a81da11d144461f008,0.916,Tether : Binance
20536253,0x1aa03799ed06400726156ffc134eabbfa3f46008,0.91,Tether : Binance
20536245,0x645e04e434a32fb52e45b4bda032ebfebe1264f3,0.918,Tether : Binance
20536225,0x201a875cd5951cb5732190499032ad3b9a9fd399,0.999,Tether : Binance
20535943,0x7b4199f657831c4285fec2f8b2df7ee7cfe13374,1.099,Tether : Binance
20535916,0xd2bbee375dc250b05cf2b7a31adc2818e204d73e,1.099,Tether : Binance
20535906,0x6919d6e89f422b162d351daae9302b0d5adb99b9,0.999,Tether : Binance
20535383,0xf4c659d7b88d838f7cd27923d309918ab94a5219,0.999,Tether : Binance
20535281,0x02057e24bc2314cc68534fdc9b4906a5a7601a7e,1.099,Tether : Binance
20534819,0xac1fc613302ba8beac30d50f4aa079c6213f0b7c,0.999,Tether : Binance
20534789,0x4c1199d7ea9f9e59acbb91a7fc843accbc7763b4,0.999,Tether : Binance
20534757,0x3c41d9a9ffe5ce032426b8a67c0c71f05cf144c8,0.999,Tether : Binance
20534573,0x56c00daf40fba1cc12a906216548c3157ed7a45c,1.099,Tether : Binance
20534273,0x1b364429bc107e31630e7bfbf06334db41983ffc,0.999,Tether : Binance
20534021,0xd523c0632cb851076b0649732a9440b8798b5870,0.999,Tether : Binance
20533862,0x011cfb757407c5f626ac45008cee1ce74ea21179,1.09952,Tether : Binance
20533273,0x8b5b8ff2b2647c3af74fe0ae62ad9a5f9e4e3739,1.019,Tether : Binance
20533179,0x953af6ebb6d020fe5c6eaec8f8e2a2163bf97032,1.099,Tether : Binance
20533102,0x4e236fad71aa9a97728d8e703a6347f60ab18b09,1.039,Tether : Binance
20532792,0xa0cb49782cbce4be0ece8d79250812c52fee6339,0.999,Tether : Binance
20531989,0xd33e529f47e244d3adbc715ea0ebae254f092612,0.999,Tether : Binance
20531221,0x0dd4e63d2e84904b89e4d6d733ce2c1687fe416a,0.999,Tether : Binance
20530272,0x724d285a69631e7564a48246bf17e55977709d7a,0.999,Tether : Binance
20529660,0xa371d34fab8ab7af2bfa3a0a57cad7c1a1d1ed12,1.01154,Tether : Binance
20529299,0x0096819dd222b0b72b3a4218d650ab5f01f09db3,1.099,Tether : Binance
20528872,0xeabff14d193ff6146204341534771c22294f4f62,0.999,Tether : Binance
20528564,0xf224dacf6b891dcf162937f402913384f8e20295,0.999,Tether : Binance
20528546,0x6a8bf3ff8c52d1f3d6d69f4a725b97f6738fed81,0.943557,Tether : Binance
20527624,0x581e04b4e21e7a3a0d5ae362310cc43f7e9a833b,0.999,Tether : Binance
20527555,0x48dd6d2c9ecb618778dbb2013e529965f83dea60,1.099,Tether : Binance
20527516,0x3175b223164b4666fb99f4a129ab1709b2f19f59,1.099,Tether : Binance
20527514,0x0a23299d5a1fe3d2dac2e48fad2cb64791903323,1.099,Tether : Binance
20527495,0xd42104be307a17e7897f0e14720bfdcc7f0d993c,0.999,Tether : Binance
20527484,0x55f9d731a185ca0c213a0c0e58c7cc779ea3565a,1.099,Tether : Binance
20527455,0x19e174d575747816598f5c2f86ab135c345bc735,1.099,Tether : Binance
20527411,0x17e88a26be6f4b5ff2fcd35600b3e2eba942a6ae,1.099,Tether : Binance
20527380,0x5e7a8511037807f961586cd60c107ce44cc8d9e0,1.099,Tether : Binance
20527350,0x33730c77cb29f447937a6b09831a825368fdddb3,1.099,Tether : Binance
